name,compiler,type,threads,input,mpxbtnum,dtlb_store_misses,cycles,dtlb_loads,dtlb_load_misses,instructions,time,branch_misses,mpxerrors,dtlb_stores,branch_instructions,minor_faults,major_faults
arraywrite,gcc,mpx_only_write,1,native,,4890,902199120,9360142,1655,2423820583,0.241981748,63995,,361311805,354460982,876,0
arraywrite,gcc,mpx_only_write,1,native,,5436,894125800,9442018,3399,2428521401,0.239333237,64663,,361736201,354238293,926,0
arraywrite,gcc,mpx_only_write,1,native,,6682,915019072,6450742,2159,2530111807,0.248386487,66456,,362199447,363419519,1080,0
arraywrite,gcc,mpx_only_write,1,native,,7406,921404801,7592452,1911,2531823164,0.245221407,63034,,364119807,362098688,1106,0
arraywrite,gcc,mpx_only_write,1,native,,2441,899092061,9364351,1699,2441627020,0.239351892,68743,,361627849,356871283,850,0
arraywrite,gcc,mpx_only_write,1,native,,2460,899164542,9644718,1846,2444385606,0.239625172,67845,,361132625,357560572,1127,0
arraywrite,gcc,mpx_only_write,1,native,,2502,900059741,9354688,2290,2447745261,0.239276121,67230,,361046958,357857732,849,0
arraywrite,gcc,mpx_only_write,1,native,,3606,894291905,9292917,1668,2417891009,0.241859408,63966,,361015921,353097044,798,0
arrayread,gcc,mpx_only_write,1,native,,6,738158600,537422608,3444,2595574988,0.206629791,62674,,436688,529093947,842,0
arrayread,gcc,mpx_only_write,1,native,,97,773925205,537431137,3638,2558900511,0.206450582,61424,,400094,521957591,750,0
arrayread,gcc,mpx_only_write,1,native,,34,776701737,537123586,3148,2569783705,0.206583407,60769,,415413,523967770,781,0
arrayread,gcc,mpx_only_write,1,native,,70,777175696,533935177,4598,2571609948,0.209863558,60880,,474229,521147243,1024,0
arrayread,gcc,mpx_only_write,1,native,,63,772929466,537388706,6168,2552868051,0.206739882,61743,,476531,520802520,1030,0
arrayread,gcc,mpx_only_write,1,native,,34,776403782,537351844,2598,2567903546,0.206262539,60614,,400595,523323225,707,0
arrayread,gcc,mpx_only_write,1,native,,40,778953994,535936131,3209,2681399962,0.211618551,59325,,423425,534501726,818,0
arrayread,gcc,mpx_only_write,1,native,,72,777549017,535454486,4609,2530357903,0.209717681,60131,,471351,514106390,1026,0
arrayread,gcc,mpx_only_write,1,native,,44,773503138,537432570,4393,2556251261,0.206357033,59557,,404546,521505631,766,0
arrayread,gcc,mpx_only_write,1,native,,45,778325068,537564887,4061,2577942702,0.206146044,58906,,461424,525892936,943,0
ptrcreation,gcc,mpx_only_write,1,native,,2107109,5689611495,1453948040,61317,6592880937,1.511065426,468735,,1597774938,402562536,526370,0
ptrcreation,gcc,mpx_only_write,1,native,,2051261,5458997172,1454786058,61396,6607538905,1.445063408,454965,,1600089555,401493059,526360,0
ptrcreation,gcc,mpx_only_write,1,native,,2056007,5461684455,1457035128,59186,6605272973,1.450012839,471159,,1598588500,406950173,526296,0
ptrcreation,gcc,mpx_only_write,1,native,,2057735,5459351484,1454437715,59158,6605707536,1.447504369,461789,,1597609652,406352574,526230,0
ptrcreation,gcc,mpx_only_write,1,native,,2057499,5454621159,1452545384,60204,6596804498,1.447759573,465065,,1597818850,402040601,526347,0
ptrcreation,gcc,mpx_only_write,1,native,,2055971,5463160296,1452273133,58467,6600466428,1.444697345,454059,,1595794369,397804413,525864,0
ptrcreation,gcc,mpx_only_write,1,native,,2067398,5446151679,1457662477,60501,6590726311,1.449933291,478168,,1595816113,407311815,526229,0
ptrcreation,gcc,mpx_only_write,1,native,,2054889,5457731603,1455557394,60526,6623406029,1.447155133,457891,,1596145819,405402840,526325,0
ptrcreation,gcc,mpx_only_write,1,native,,2073040,5450024313,1453868982,60135,6585408257,1.452086159,466914,,1596424332,401960936,526182,0
ptrcreation,gcc,mpx_only_write,1,native,,2065334,5460873977,1456674410,59064,6613030612,1.449418261,468382,,1594889915,407928142,526426,0
mallocs,gcc,mpx_only_write,1,native,,1218927,4901432937,2701813774,265587,12647096880,1.314395346,692190,,2041033075,2511391929,393763,0
mallocs,gcc,mpx_only_write,1,native,,1262804,4792418482,2698082130,218783,12744298237,1.274354242,674521,,2025454211,2546829925,393768,0
mallocs,gcc,mpx_only_write,1,native,,1212081,4891448116,2701039060,258606,12731123340,1.300835398,670160,,2027644580,2538136829,394239,0
mallocs,gcc,mpx_only_write,1,native,,1224285,4886705397,2702137492,261362,12704595884,1.30762512,702399,,2023670000,2542231156,393984,0
mallocs,gcc,mpx_only_write,1,native,,1227812,4858445207,2701552303,257624,12686179428,1.295622474,764342,,2018029643,2550608252,394188,0
mallocs,gcc,mpx_only_write,1,native,,1240500,4882179624,2705005860,256660,12618781070,1.295021861,705757,,2029536890,2533360090,393936,0
mallocs,gcc,mpx_only_write,1,native,,1274654,4804760719,2718005960,216716,12657899733,1.285059801,599015,,2020843669,2541856641,393987,0
mallocs,gcc,mpx_only_write,1,native,,1231298,4876659720,2703042524,254608,12663178722,1.301452556,693561,,2035609350,2533467188,393763,0
mallocs,gcc,mpx_only_write,1,native,,1289663,4802092461,2717406732,220529,12729211315,1.28298821,662228,,2013419619,2547426256,394086,0
mallocs,gcc,mpx_only_write,1,native,,1228942,4824347912,2701484953,273897,12724916181,1.289621163,650342,,2028660861,2545950391,393901,0
struct,gcc,mpx_only_write,1,native,,6963,1654447620,681284153,2804,3138204112,0.437431683,69153,,675990978,143823197,1449,0
struct,gcc,mpx_only_write,1,native,,5606,1933209422,681373585,1835,3141403229,0.516626218,78165,,679803170,148471220,1291,0
struct,gcc,mpx_only_write,1,native,,4986,1655413450,681186354,2652,3142831115,0.43739679,67197,,675805028,144046816,1284,0
struct,gcc,mpx_only_write,1,native,,5085,1662090269,681286471,2069,3146483038,0.443119805,70405,,676796173,148451627,1252,0
struct,gcc,mpx_only_write,1,native,,5332,1651521145,680878019,2632,3135076069,0.437576059,68116,,675524929,143449490,1287,0
struct,gcc,mpx_only_write,1,native,,6884,1659532155,685463169,2018,3145503425,0.444650942,71061,,672231031,149315777,1502,0
struct,gcc,mpx_only_write,1,native,,7531,1655143525,679779855,2811,3153003958,0.436937257,67542,,675852767,143713228,1557,0
struct,gcc,mpx_only_write,1,native,,4828,1656805790,679827108,2661,3139552651,0.437402659,67803,,675849904,143417990,1263,0
struct,gcc,mpx_only_write,1,native,,6982,1663992267,672153155,2548,3140558153,0.443280669,70680,,677939787,148369518,1494,0
struct,gcc,mpx_only_write,1,native,,8334,1653460946,680648061,2301,3150046722,0.436943189,67484,,676043873,144045686,1670,0
arraywrite,icc,mpx,1,native,,2648,737638130,9394610,1142,1793716977,0.20274325,66540,,360953396,185878930,1017,0
arraywrite,icc,mpx,1,native,,2063,740153987,9091751,1079,1798180859,0.203175187,64634,,361087551,185718876,754,0
arraywrite,icc,mpx,1,native,,2734,728161472,9542631,2985,1765771667,0.202919179,64690,,361722209,183209370,1169,0
arraywrite,icc,mpx,1,native,,2206,788043127,6783115,2656,1778434642,0.211616216,60740,,364062517,180932889,1170,0
arraywrite,icc,mpx,1,native,,2828,730435031,9459798,1461,1773785183,0.20319735,66538,,362154709,183903219,1087,0
arraywrite,icc,mpx,1,native,,2147,731669229,9312343,2444,1776496348,0.203144162,66400,,362859379,184083021,942,0
arraywrite,icc,mpx,1,native,,2793,731293055,9060041,1104,1774222018,0.203350376,64536,,362199765,184254488,691,0
arraywrite,icc,mpx,1,native,,2207,759875738,9121490,2181,1745191136,0.207136237,62897,,361593972,181051019,829,0
arraywrite,icc,mpx,1,native,,2288,786929302,7019129,1665,1829925826,0.21210352,60779,,365940847,183029145,839,0
arraywrite,icc,mpx,1,native,,2196,732019150,9300046,2320,1776066897,0.203460111,66253,,361705774,184432283,947,0
arrayread,icc,mpx,1,native,,16,859240383,537288748,2807,2683694391,0.231542823,59969,,208668,269365165,1026,0
arrayread,icc,mpx,1,native,,31,846554868,547625308,2962,2571467320,0.238201376,59095,,405392,266147169,1053,0
arrayread,icc,mpx,1,native,,20,851622634,537546019,6265,2660289660,0.231169149,60763,,207931,269635170,1076,0
arrayread,icc,mpx,1,native,,14,852554158,537466250,3015,2664788872,0.231386064,59631,,212560,269436270,704,0
arrayread,icc,mpx,1,native,,14,852390538,537406508,5020,2663276692,0.231443308,61290,,203486,269579905,998,0
arrayread,icc,mpx,1,native,,10,844731553,535030187,3763,2644348254,0.236002287,59266,,402413,268816108,819,0
arrayread,icc,mpx,1,native,,6,850582937,537317059,3438,2643953078,0.232871074,61236,,207646,269750095,690,0
arrayread,icc,mpx,1,native,,28,861678547,537460758,2705,2686989036,0.231631403,59611,,217174,269474447,770,0
arrayread,icc,mpx,1,native,,20,861011001,538037755,2814,2685935983,0.231126114,58540,,204439,269574220,993,0
arrayread,icc,mpx,1,native,,18,854883444,540352529,2818,2629711146,0.235664707,58869,,218063,267525291,912,0
ptrcreation,icc,mpx,1,native,,2021322,5523287713,1325956547,60893,6318151279,1.472040334,437523,,1588592106,394831138,525892,0
ptrcreation,icc,mpx,1,native,,2047339,5526284981,1327721332,57768,6300560716,1.460955977,463246,,1595396060,393005494,526170,0
ptrcreation,icc,mpx,1,native,,2032899,5521319365,1328625211,58575,6302132833,1.46720823,448738,,1589674500,396406252,526375,0
ptrcreation,icc,mpx,1,native,,2060870,5527406024,1326527708,60598,6299959887,1.460343222,463115,,1594613456,392515090,525722,0
ptrcreation,icc,mpx,1,native,,2033342,5521124758,1326832029,62622,6280007788,1.468389481,460767,,1590854543,391152711,525779,0
ptrcreation,icc,mpx,1,native,,2057060,5523323957,1326497165,60095,6299811580,1.461565013,470294,,1596191401,392852404,526328,0
ptrcreation,icc,mpx,1,native,,2051714,5518880636,1329962549,59380,6300076923,1.46118824,466196,,1591293405,393730343,525872,0
ptrcreation,icc,mpx,1,native,,2033466,5529372416,1319580643,60161,6294650418,1.467640321,443886,,1589686868,388551816,526116,0
ptrcreation,icc,mpx,1,native,,2053687,5516625308,1328558959,59886,6294081636,1.46067707,462960,,1593717735,392587374,526135,0
ptrcreation,icc,mpx,1,native,,2031728,5524374248,1322922147,61195,6285715434,1.46549262,445755,,1590717726,389509319,526408,0
mallocs,icc,mpx,1,native,,1232389,4956614776,2703788629,501071,12777280948,1.335829813,889921,,2023438398,2539206081,393770,0
mallocs,icc,mpx,1,native,,1223330,4945913205,2694918821,525558,12786049379,1.322744883,641434,,2034152447,2535813668,394273,0
mallocs,icc,mpx,1,native,,1163170,4927519399,2695843628,371608,12717543261,1.324246199,661334,,2040132777,2528032133,394190,0
mallocs,icc,mpx,1,native,,1280178,4932130854,2687802724,395716,12798117616,1.329684615,642741,,2039004041,2531574012,393805,0
mallocs,icc,mpx,1,native,,1287416,4920582767,2701964157,397202,12720712821,1.323172084,703940,,2037005067,2531801183,393834,0
