name,compiler,type,threads,input,mpxbtnum,cycles,major_faults,instructions,dtlb_store_misses,branch_instructions,branch_misses,dtlb_load_misses,dtlb_loads,time,mpxerrors,minor_faults,dtlb_stores
mcf,gcc,native,1,native,,471890510852,0,283272367929,32023,64306401272,2580984953,989937,98102610846,227.633761329,,2533,30533487037
mcf,gcc,native,1,native,,471581348343,0,283390070967,21659,64329757818,2581188802,1094695,98128113747,228.270095877,,2535,30479384977
mcf,gcc,native,1,native,,471964842343,0,283359633775,22970,64363551646,2580020703,945937,98154725275,227.718593214,,2534,30465577437
mcf,gcc,native,1,native,,488022058621,0,283480436583,1013428,64344988980,2584635501,61462024,98126824848,238.619856193,,2534,30550298389
mcf,gcc,native,1,native,,472265704112,0,283094592577,70557,64352800167,2578017747,2977977,98167588560,228.095918965,,2534,30577987949
mcf,gcc,native,1,native,,488149656946,0,282956866449,1122003,64276633297,2582410149,71859255,98268338141,238.561377585,,2533,30586266854
mcf,gcc,native,1,native,,471407144796,0,283359402171,22212,64328785972,2578517372,1393531,98189139545,228.500261421,,2533,30604880181
mcf,gcc,native,1,native,,472052256093,0,283180337605,45719,64330750011,2579850987,1793046,98234120152,229.689121116,,2535,30507886622
mcf,gcc,native,1,native,,488255272968,0,283291618356,1134171,64352370424,2584363564,65465017,98200979195,236.888420738,,2533,30548398739
mcf,gcc,native,1,native,,490192986202,0,283430976510,1117581,64325352753,2584581394,71962748,98158579266,238.447418471,,2534,30559724140
libquantum,gcc,native,1,native,,773864055023,0,1643168696968,96793,399203381145,854594352,102722,222944315821,206.746054087,,19453,78414520508
libquantum,gcc,native,1,native,,777923717670,0,1643624089331,144370,399358601562,863350191,1631445,222871434184,208.574144003,,19964,78381890395
libquantum,gcc,native,1,native,,779658756360,0,1643814125169,277574,399233907521,861018384,12694389,222943770834,209.034735328,,19451,78484258494
libquantum,gcc,native,1,native,,786110140438,0,1642564704719,307035,399199298212,863308184,15532912,222913264189,211.442516299,,19961,78436958448
libquantum,gcc,native,1,native,,789937038911,0,1644469898440,327721,399691908414,866702827,17844025,222917706081,213.052077936,,19450,78695919187
libquantum,gcc,native,1,native,,789489409612,0,1643542147142,348302,399063587913,862469175,20461918,222920578554,212.552780575,,18935,78451418778
libquantum,gcc,native,1,native,,788757132746,0,1644833816521,475205,399361181933,865177542,22633529,222917693582,212.058230315,,19956,78426088658
libquantum,gcc,native,1,native,,777300678737,0,1643937193718,109549,399230858129,859226230,230967,223016574831,208.192923283,,18941,78541436116
libquantum,gcc,native,1,native,,780760283065,0,1641645789804,224357,399193029106,863266993,4529747,222807719924,209.51890777,,19956,78373886899
libquantum,gcc,native,1,native,,783478982920,0,1641747257680,323650,399440696843,859672458,14297031,222866769009,210.895112464,,19956,78698319705
gcc,gcc,native,1,native,,6590588784,0,4603567848,3241073,980215973,8717624,16368193,1127684452,2.789533972,,369386,675745846
gcc,gcc,native,1,native,,6560925315,0,4393191380,3195386,950299585,8754801,15852491,1159791585,2.800422799,,369393,680568960
gcc,gcc,native,1,native,,6562414161,0,4545906451,3253463,975211338,8657985,16313663,1132983163,2.793276576,,369364,677558787
gcc,gcc,native,1,native,,6541029530,0,4480594140,3249744,981807279,8793475,16293559,1152375113,2.798280573,,369392,668900137
gcc,gcc,native,1,native,,6560714245,0,4395744124,3190363,953143996,8662429,15918261,1158764331,2.799485311,,369394,679272445
gcc,gcc,native,1,native,,6582409898,0,4447578320,3065922,950235379,8567278,15664491,1147204360,2.808214596,,369377,694421454
gcc,gcc,native,1,native,,6552698613,0,4514424531,3234476,971204929,8682833,16267445,1136615721,2.794819115,,369394,677318376
gcc,gcc,native,1,native,,6591597212,0,4580057693,3244454,986170367,8666420,16321038,1137326277,2.79168659,,369369,667434984
gcc,gcc,native,1,native,,6553817532,0,4474669768,3225735,974334977,8811154,16228419,1150181296,2.796855461,,369404,673558897
gcc,gcc,native,1,native,,6578650297,0,4575094392,3236742,977336843,8541792,16339079,1131334312,2.790661345,,369412,675935470
povray,gcc,native,1,native,,372013997622,0,931462423828,1646,147512238569,1050307257,336775,313589408080,98.08406642,,853,135896518080
povray,gcc,native,1,native,,371605635471,0,931665698602,1492,147563184571,1047282441,430846,313554825451,97.949887924,,851,135837014556
povray,gcc,native,1,native,,372080462988,0,931390224038,1584,147519174598,1049435303,174442,313533008226,98.088509797,,854,135896985776
povray,gcc,native,1,native,,374625078459,0,931210868228,1430,147539990348,1045229933,382342,313660947892,98.730485551,,853,135886767658
povray,gcc,native,1,native,,371301661408,0,931468146100,1732,147565893052,1048279720,259476,313555294912,97.849830582,,857,135893961113
povray,gcc,native,1,native,,377036788338,0,931285887795,2260,147569236819,1063556640,402087,313655179442,99.357980612,,854,135841956530
povray,gcc,native,1,native,,372923255179,0,931188419892,3058,147548124056,1045113407,315757,313648599956,98.271789922,,852,135876679299
povray,gcc,native,1,native,,368649708849,0,931768470740,1878,147594928197,1047804040,463621,313521077936,97.159546299,,854,135828331711
povray,gcc,native,1,native,,371695512626,0,931290071526,1762,147568312548,1048379932,331167,313517603580,97.955378601,,852,135886091043
povray,gcc,native,1,native,,364941262695,0,931008805437,1854,147506265052,1047417582,385393,313577781701,96.178585877,,856,135950481551
astar,gcc,native,1,native,,658358533629,0,636807774519,650944967,117632135308,13957018619,270097391,175878891505,173.496889269,,41977,39817922186
astar,gcc,native,1,native,,648910301677,0,636862263639,326831097,117625962362,13959360437,206252716,175883166010,171.004881933,,41573,39829635188
astar,gcc,native,1,native,,652420191777,0,636921376697,431304349,117610134660,13960056984,238831741,175861612493,172.001428916,,41575,39836339518
astar,gcc,native,1,native,,663316500898,0,636706709562,761689174,117602045239,13954927671,356304745,175890980132,174.799952639,,41005,39828084349
astar,gcc,native,1,native,,656641549729,0,636791764830,626132414,117612041515,13955749611,254414103,175855837896,173.053111946,,41848,39819270407
astar,gcc,native,1,native,,648842747584,0,636820968790,323354833,117620403939,13955282326,206271211,175860223781,171.052876864,,42319,39820345994
astar,gcc,native,1,native,,651087618517,0,636873248262,393335190,117599982204,13958868052,222553588,175872600613,171.602316993,,41791,39825685415
astar,gcc,native,1,native,,663171719084,0,637045441987,761923191,117614478049,13953900152,356641634,175836141089,174.768742005,,42296,39832318741
astar,gcc,native,1,native,,656541089316,0,637010990150,616616671,117626250739,13954129365,245062568,175868620379,173.05783355,,42117,39811404558
astar,gcc,native,1,native,,648803814325,0,636657369082,324157252,117598886748,13959363286,206850639,175879063895,170.974685473,,41530,39832569559
perlbench,icc,native,1,native,,201846210127,0,638546544763,3471648,141012854116,659451355,25028530,191267427472,53.180650574,,173166,67309322864
perlbench,icc,native,1,native,,201565541712,0,639386843301,3329103,141339191261,661289228,22327872,191162203980,53.110843138,,173175,67273431842
perlbench,icc,native,1,native,,201452590467,0,638918333837,3215393,141185483816,661909318,21788453,191303098342,53.08870274,,173178,67212077218
perlbench,icc,native,1,native,,202458990398,0,638170717134,3219950,140945305314,659442192,23421510,191056788618,53.357557428,,173182,67317036717
perlbench,icc,native,1,native,,201728177987,0,638090419873,3200907,140935220983,660533197,22382599,191124451125,53.161026215,,173179,67240080412
perlbench,icc,native,1,native,,201405080675,0,639171942758,3181076,141141424737,660877723,21973383,190901812283,53.075052836,,173180,67297676629
perlbench,icc,native,1,native,,203237524893,0,638611415830,3224451,140947312787,661841452,23589234,190959852435,53.558545213,,173179,67316051381
perlbench,icc,native,1,native,,201758254282,0,638086505259,3388361,141037718652,661479522,22232770,191359766937,53.165243723,,172667,67301333329
perlbench,icc,native,1,native,,201525967892,0,639410496512,3201440,141172028025,661873375,22062804,190930112702,53.111143946,,173174,67301708640
perlbench,icc,native,1,native,,203474132263,0,637597870980,3334467,141091012615,663140152,23365711,191572546212,53.618156412,,173165,67239579819
omnetpp,icc,native,1,native,,678571559315,0,560934039019,124234962,142588613986,2078500592,1042034732,170324757085,274.399275437,,46837,96034883863
omnetpp,icc,native,1,native,,692809731069,0,560758381145,188810327,142581299294,2081181691,1349594342,170351195009,278.654183599,,46842,96037262602
omnetpp,icc,native,1,native,,703674040374,0,560723784177,247970474,142541282620,2082779515,1610987639,170308348242,281.835114308,,46847,96092706987
omnetpp,icc,native,1,native,,714664823581,0,560897962002,297665542,142570563185,2081113234,1864016010,170317220306,285.517768364,,46838,96057585703
omnetpp,icc,native,1,native,,723876538602,0,560802121481,347236582,142578103734,2084043835,2089260657,170339536170,287.522481576,,46846,96038432820
