name,compiler,type,threads,input,involuntary_context_switches,mpxbtnum,voluntary_context_switches,major_faults,user_time,mpxerrors,time,minor_faults,maxsize,sys_time
hmmer,icc,native,1,1,5,,1,0,1.26,,1.27,5190,31336,0.0
hmmer,icc,native,1,2,6,,1,0,2.32,,2.34,8015,73292,0.0
hmmer,icc,native,1,3,15,,1,0,5.52,,5.53,10910,145700,0.01
hmmer,icc,native,1,4,21,,1,0,10.06,,10.07,14411,290832,0.01
hmmer,icc,native,1,0,3,,1,0,0.64,,0.64,4378,21900,0.0
hmmer,icc,native,1,1,5,,1,0,1.26,,1.27,5190,31336,0.0
hmmer,icc,native,1,2,6,,1,0,2.33,,2.33,8015,73292,0.0
hmmer,icc,native,1,3,14,,1,0,5.51,,5.53,10910,145700,0.02
hmmer,icc,native,1,4,21,,1,0,10.05,,10.07,14411,290832,0.01
hmmer,icc,native,1,0,3,,1,0,0.64,,0.64,4378,21900,0.0
hmmer,icc,native,1,1,4,,1,0,1.26,,1.27,5190,31336,0.01
hmmer,icc,native,1,2,7,,1,0,2.32,,2.33,8015,73292,0.0
hmmer,icc,native,1,3,12,,1,0,5.51,,5.53,10910,145700,0.02
hmmer,icc,native,1,4,19,,1,0,10.03,,10.07,14411,290832,0.03
hmmer,icc,native,1,0,4,,1,0,0.64,,0.64,4378,21900,0.0
hmmer,icc,native,1,1,4,,1,0,1.26,,1.27,5190,31336,0.0
hmmer,icc,native,1,2,6,,1,0,2.33,,2.33,8015,73292,0.0
hmmer,icc,native,1,3,12,,1,0,5.52,,5.53,10910,145700,0.01
hmmer,icc,native,1,4,21,,1,0,10.05,,10.07,14411,290832,0.01
hmmer,icc,native,1,0,4,,1,0,0.64,,0.64,4378,21900,0.0
hmmer,icc,native,1,1,4,,1,0,1.26,,1.27,5190,31336,0.0
hmmer,icc,native,1,2,6,,1,0,2.33,,2.33,8015,73292,0.0
hmmer,icc,native,1,3,14,,2,0,5.51,,5.54,10911,145700,0.02
hmmer,icc,native,1,4,22,,1,0,10.03,,10.06,14411,290832,0.03
hmmer,icc,native,1,0,4,,1,0,0.64,,0.64,4378,21900,0.0
hmmer,icc,native,1,1,4,,1,0,1.26,,1.27,5190,31336,0.0
hmmer,icc,native,1,2,5,,1,0,2.33,,2.33,8015,73292,0.0
hmmer,icc,native,1,3,16,,1,0,5.52,,5.53,10910,145700,0.0
hmmer,icc,native,1,4,19,,7,0,10.03,,10.06,14411,290832,0.02
libquantum,icc,native,1,0,6,,1,0,1.57,,1.58,1697,5596,0.0
libquantum,icc,native,1,1,18,,2,0,8.85,,8.86,3303,14824,0.0
libquantum,icc,native,1,2,164,,1,0,82.61,,82.63,6495,51664,0.0
libquantum,icc,native,1,3,799,,8,0,406.16,,406.34000000000003,23394,199288,0.12
libquantum,icc,native,1,4,4031,,5,0,2130.33,,11130.97,28592,788992,0.38
libquantum,icc,native,1,0,6,,1,0,1.57,,1.57,1697,5596,0.0
libquantum,icc,native,1,1,21,,1,0,8.75,,8.76,3302,14824,0.0
libquantum,icc,native,1,2,167,,1,0,81.8,,81.81,6495,51664,0.0
libquantum,icc,native,1,3,794,,6,0,405.67,,405.79,23392,199288,0.06
libquantum,icc,native,1,4,4028,,14,0,2126.12,,11126.8,28601,788992,0.42
libquantum,icc,native,1,0,7,,1,0,1.58,,1.58,1697,5596,0.0
libquantum,icc,native,1,1,21,,2,0,8.76,,8.77,3303,14824,0.0
libquantum,icc,native,1,2,162,,1,0,81.72,,81.73,6495,51664,0.0
libquantum,icc,native,1,3,797,,1,0,407.12,,407.24,23387,199288,0.06
libquantum,icc,native,1,4,4038,,7,0,2130.96,,11131.78,28594,788992,0.56
libquantum,icc,native,1,0,6,,1,0,1.58,,1.58,1697,5596,0.0
libquantum,icc,native,1,1,19,,1,0,8.76,,8.76,3302,14824,0.0
libquantum,icc,native,1,2,164,,1,0,82.63,,82.65,6495,51664,0.0
libquantum,icc,native,1,3,798,,4,0,406.28,,406.46,23390,199288,0.12
libquantum,icc,native,1,4,4034,,15,0,2130.38,,11131.05,28602,788992,0.41
libquantum,icc,native,1,0,5,,1,0,1.58,,1.58,1697,5596,0.0
libquantum,icc,native,1,1,18,,2,0,8.76,,8.77,3303,14824,0.0
libquantum,icc,native,1,2,164,,1,0,81.8,,81.81,6495,51664,0.0
libquantum,icc,native,1,3,795,,6,0,406.04,,406.2,23392,199288,0.1
libquantum,icc,native,1,4,4036,,17,0,2130.72,,11131.34,28604,788992,0.35
libquantum,icc,native,1,0,5,,1,0,1.58,,1.58,1697,5596,0.0
libquantum,icc,native,1,1,19,,1,0,8.83,,8.84,3302,14824,0.0
libquantum,icc,native,1,2,165,,1,0,82.39,,82.41,6495,51664,0.0
libquantum,icc,native,1,3,798,,1,0,405.88,,406.08,23387,199288,0.15
libquantum,icc,native,1,4,4019,,1,0,2122.31,,11122.92,28588,788992,0.35
libquantum,icc,native,1,0,7,,1,0,1.57,,1.57,1697,5596,0.0
libquantum,icc,native,1,1,18,,2,0,8.74,,8.75,3303,14824,0.0
libquantum,icc,native,1,2,167,,1,0,82.06,,82.08,6495,51664,0.0
libquantum,icc,native,1,3,796,,1,0,405.69,,405.83,23387,199288,0.08
libquantum,icc,native,1,4,4021,,4,0,2125.28,,11125.9,28591,788992,0.37
libquantum,icc,native,1,0,8,,1,0,1.58,,1.58,1697,5596,0.0
libquantum,icc,native,1,1,20,,1,0,8.76,,8.76,3302,14824,0.0
libquantum,icc,native,1,2,169,,1,0,81.91,,81.93,6495,51664,0.01
libquantum,icc,native,1,3,790,,9,0,404.27,,404.42,23395,199288,0.1
libquantum,icc,native,1,4,4023,,1,0,2123.26,,11123.82,28588,788992,0.31
libquantum,icc,native,1,0,6,,1,0,1.57,,1.57,1697,5596,0.0
libquantum,icc,native,1,1,21,,2,0,8.76,,8.77,3303,14824,0.0
libquantum,icc,native,1,2,164,,1,0,81.9,,81.91,6495,51664,0.0
libquantum,icc,native,1,3,798,,9,0,407.45,,407.67,23395,199288,0.16
libquantum,icc,native,1,4,4027,,1,0,2124.44,,11125.11,28588,788992,0.42
libquantum,icc,native,1,0,6,,1,0,1.57,,1.57,1697,5596,0.0
libquantum,icc,native,1,1,18,,1,0,8.84,,8.85,3302,14824,0.0
libquantum,icc,native,1,2,164,,1,0,82.23,,82.25,6495,51664,0.01
libquantum,icc,native,1,3,790,,6,0,403.08,,403.26,23392,199288,0.12
libquantum,icc,native,1,4,4037,,9,0,2130.27,,11130.98,28596,788992,0.45
bzip2,icc,native,1,0,19,,1,0,8.19,,8.2,4424,104260,0.0
bzip2,icc,native,1,1,35,,2,0,16.39,,16.39,4477,196444,0.0
bzip2,icc,native,1,2,69,,3,0,32.76,,32.77,4583,380824,0.01
bzip2,icc,native,1,3,132,,3,0,65.51,,65.56,4793,749584,0.04
bzip2,icc,native,1,4,258,,2,0,131.0,,131.08,5212,1487104,0.06
bzip2,icc,native,1,0,17,,2,0,8.2,,8.2,4425,104260,0.0
bzip2,icc,native,1,1,35,,2,0,16.39,,16.4,4477,196444,0.01
bzip2,icc,native,1,2,67,,3,0,32.76,,32.78,4583,380824,0.02
bzip2,icc,native,1,3,134,,3,0,65.49,,65.54,4793,749584,0.03
bzip2,icc,native,1,4,260,,3,0,130.99,,131.08,5213,1487104,0.07
bzip2,icc,native,1,0,18,,1,0,8.19,,8.2,4424,104260,0.01
bzip2,icc,native,1,1,34,,1,0,16.38,,16.39,4476,196444,0.0
bzip2,icc,native,1,2,66,,2,0,32.74,,32.77,4582,380824,0.01
bzip2,icc,native,1,3,131,,3,0,65.53,,65.59,4793,749584,0.04
bzip2,icc,native,1,4,260,,2,0,131.05,,131.13,5212,1487104,0.06
bzip2,icc,native,1,0,20,,1,0,8.2,,8.2,4424,104260,0.0
bzip2,icc,native,1,1,33,,1,0,16.37,,16.39,4476,196444,0.01
bzip2,icc,native,1,2,67,,3,0,32.76,,32.78,4583,380824,0.01
bzip2,icc,native,1,3,133,,3,0,65.51,,65.55,4793,749584,0.03
bzip2,icc,native,1,4,261,,2,0,131.0,,131.08,5212,1487104,0.06
