name,compiler,type,threads,input,dtlb_stores,minor_faults,dtlb_store_misses,branch_misses,mpxerrors,branch_instructions,mpxbtnum,major_faults,cycles,dtlb_load_misses,time,dtlb_loads,instructions
word_count,icc,native,1,native,4129730423,28417,97934,191946984,,2982859801,,0,28631265012,36945348,7.543188463,8090197243,23543099442
matrix_multiply,clang,native,1,native,7220309530,2617,1241,34272412,,10552554084,,0,27087784331,335597,7.136468154,16232367828,53423334948
kmeans,clang,native,1,native,329938268,1219,146,82356151,,40588098677,,0,69930832386,5560,18.419196877,36669702295,268103808872
pca,clang,native,1,native,98861557,17761,4485495,4943136,,1883552561,,0,31829161103,218882,8.390024206,6975058804,48097701690
word_count,clang,native,1,native,2532919461,28413,402175,134188309,,3493781290,,0,28546676763,36656909,7.525699913,4567149779,21077264658
matrix_multiply,gcc,mpx,1,native,10645568169,2633,26897,34411681,,10612239968,,0,127436405146,348347,33.57570334,63761303398,218902281899
kmeans,gcc,mpx,1,native,255331394,1576,1202,254820710,,40422660264,,0,227567656055,131550,59.94834795,93210237875,501606403869
pca,gcc,mpx,1,native,149121674,17115,2603215,4976232,,13683344734,,0,203425124536,237468,53.646704508,121861382712,379081348619
word_count,gcc,mpx,1,native,10294663906,30936,3249537,240592039,,5758755060,,0,53007082438,112536679,14.856654316,13446480360,47308390062
matrix_multiply,gcc,mpx_no_narrow_bounds,1,native,10650781855,2636,26110,34396599,,10607199435,,0,127400129603,333176,33.555957688,63742264692,218914812311
kmeans,gcc,mpx_no_narrow_bounds,1,native,259156886,1510,506,254814554,,40406599671,,0,227605707548,48189,59.952680921,93205715168,501600605577
pca,gcc,mpx_no_narrow_bounds,1,native,151351701,17357,2740828,4969005,,13682847926,,0,203456084270,192698,53.592103029,121844576192,379143512962
word_count,gcc,mpx_no_narrow_bounds,1,native,10187412382,30910,2868137,237946066,,5712940904,,0,52765507836,106058426,14.650197632,13471176631,47220004781
matrix_multiply,icc,mpx,1,native,7230662878,2645,437,34468156,,10584447138,,0,36252037179,343245,9.552218578,16345795062,73692844800
kmeans,icc,mpx,1,native,289781975,1586,198,80878910,,48577537358,,0,107391591226,49728,28.295077765,29196114089,336199253153
pca,icc,mpx,1,native,115271107,17790,4502708,4949371,,3562976740,,0,38700327913,390180,10.197952707,7012628564,68461404847
word_count,icc,mpx,1,native,19217073333,31267,623572,188118952,,10081437811,,0,85885738712,68787394,22.659739242,30733802400,93666640983
matrix_multiply,icc,mpx_no_narrow_bounds,1,native,7234616211,2647,27121,34500838,,10589577994,,0,36204253738,332276,9.539295525,16352381484,73785732746
kmeans,icc,mpx_no_narrow_bounds,1,native,292202628,1547,484,80833403,,48579809338,,0,107496111520,21569,28.315108318,29179226672,336268535122
pca,icc,mpx_no_narrow_bounds,1,native,110465209,17789,4497877,4972797,,3567468973,,0,38631918137,314391,10.184975863,7016802363,68461553803
word_count,icc,mpx_no_narrow_bounds,1,native,19179113885,32264,478165,186673700,,10058798139,,0,84930703359,55324256,22.397592464,30762605912,93681924883
matrix_multiply,softbound,enabled,1,native,7336770841,2638,3846,34341626,,37548342799,,0,43497034317,331675,11.471119894,60441343480,148566820079
kmeans,softbound,enabled,1,native,20265442804,1247,22,81280938,,182359129668,,0,158545021403,4292,41.767698135,259392613554,725272280392
pca,softbound,enabled,1,native,147308927,17789,4113793,4972880,,94856969052,,0,75750283677,280828,19.95518271,108485897455,366044325359
matrix_multiply,clang,asan,1,native,7268165618,3812,27955,34619203,,20777878966,,0,32600957612,416038,8.59216149,26572146408,104421966604
kmeans,clang,asan,1,native,435089446,3649,4145,80992492,,89656086476,,0,120208275652,1343685,31.665635258,81917674218,518133525153
pca,clang,asan,1,native,130203733,25591,4544259,4944962,,15441294803,,0,31777664176,6795455,8.373729671,20566203729,129440100061
word_count,clang,asan,1,native,64640363757,32893,125512,186390247,,72122195437,,0,94766014508,87432440,24.969957647,71718172348,358010106735
matrix_multiply,gcc,native,1,native,7223480160,2615,19996,34313281,,10557387362,,0,32563701734,332787,8.590886014,19708154139,80358127799
kmeans,gcc,native,1,native,540641135,1220,318,256576945,,44462934577,,0,50287284574,4329,13.246332224,48962300718,187942695404
pca,gcc,native,1,native,124891139,17759,4486437,4939711,,3572605445,,0,41420175727,202961,10.912488087,7023982799,58313887071
word_count,gcc,native,1,native,2486749641,28405,476069,235999586,,3853130259,,0,23389132148,84822977,6.180582879,4396002218,20501766358
matrix_multiply,icc,native,1,native,7224859108,2621,16685,34266906,,10591985043,,0,28642413772,346659,7.545650681,16335775589,53549898089
kmeans,icc,native,1,native,289523812,1223,34,82144829,,48560921682,,0,70361838894,2088,18.542601632,24891481437,279016472986
pca,icc,native,1,native,100843981,17766,4488151,4935771,,3574988146,,0,40454049279,207268,10.65846675,6985740649,54832448283
word_count,icc,native,1,native,4051198349,28415,104089,191443671,,3010700601,,0,28546469531,36964035,7.524759379,8183046676,23561228376
matrix_multiply,clang,native,1,native,7232604630,2618,27706,34305374,,10549791159,,0,27042364694,331266,7.124373703,16237738373,53399955296
kmeans,clang,native,1,native,329819670,1218,136,82441706,,40590379792,,0,69928879335,4239,18.419147095,36673626822,268081845849
pca,clang,native,1,native,106274235,17761,4491804,4939138,,1876575355,,0,31822162044,225413,8.395159684,6975227163,48061924825
word_count,clang,native,1,native,2491836379,28410,412749,133541060,,3475615787,,0,28616480299,36458892,7.539034687,4603911246,20931472209
matrix_multiply,gcc,mpx,1,native,10650329194,2633,27024,34391094,,10607630675,,0,127401747514,323005,33.556215793,63744270891,218921930729
kmeans,gcc,mpx,1,native,259369678,1643,296,254716550,,40401644824,,0,227247774907,149003,59.860221592,93184929276,501702172678
pca,gcc,mpx,1,native,147856756,16698,2460500,4984073,,13684384133,,0,203489745365,112035,53.599750982,121861450873,379128824964
word_count,gcc,mpx,1,native,10237517501,30839,2210691,240308425,,5725279923,,0,52496063447,98935372,14.453536184,13461352707,47180312964
matrix_multiply,gcc,mpx_no_narrow_bounds,1,native,10634114525,2635,12983,34424013,,10610508216,,0,127444852069,354996,33.567793769,63749321573,218955578397
kmeans,gcc,mpx_no_narrow_bounds,1,native,254760503,1439,16,254792617,,40424084360,,0,227079346538,4150,59.811720689,93194283002,501717916977
pca,gcc,mpx_no_narrow_bounds,1,native,156100485,17221,2858258,4980809,,13676703261,,0,203416257246,200417,53.582454902,121861599967,379060389607
word_count,gcc,mpx_no_narrow_bounds,1,native,10276986172,29801,2655000,240404926,,5735677641,,0,52968115626,106932703,14.688290643,13456273258,47278504443
matrix_multiply,icc,mpx,1,native,7224630824,2640,27068,34452980,,10594569741,,0,36185463361,333039,9.53182216,16349432412,73813468897
kmeans,icc,mpx,1,native,292533010,1765,2850,80869202,,48575916217,,0,107608995169,997999,28.34451125,29177704872,336289605045
pca,icc,mpx,1,native,112753428,17791,4501045,4970479,,3564996804,,0,38621015752,217944,10.17637037,7015941248,68462440689
word_count,icc,mpx,1,native,19203716867,31034,345938,186309346,,10052330127,,0,84814065045,49675022,22.355497599,30732211945,93600293740
matrix_multiply,icc,mpx_no_narrow_bounds,1,native,7234460058,2642,27058,34506016,,10590087360,,0,36204844094,335260,9.540658167,16351655786,73785238301
kmeans,icc,mpx_no_narrow_bounds,1,native,292633452,1769,2241,80886526,,48570666418,,0,108173770009,1415161,28.496898812,29193380025,336185020465
pca,icc,mpx_no_narrow_bounds,1,native,108831505,17812,4502170,4961037,,3569626567,,0,38635325037,230560,10.178767214,7017721474,68467374959
word_count,icc,mpx_no_narrow_bounds,1,native,19199141975,32130,431218,185724793,,10063059300,,0,84555528907,50472480,22.296129036,30775825723,93592870759
matrix_multiply,softbound,enabled,1,native,7324479428,2639,2204,34305158,,37551161471,,0,43461302948,347684,11.449768407,60410314248,148713018960
kmeans,softbound,enabled,1,native,20257075025,1253,16,81050629,,182341615469,,0,158430484802,1627,41.731436377,259342931507,725377424037
pca,softbound,enabled,1,native,150210511,17786,4356890,4944695,,94861573629,,0,75637749290,264633,19.925659804,108482169818,366023052158
matrix_multiply,clang,asan,1,native,7265808939,3809,27636,34641381,,20786112468,,0,32483369099,413448,8.558963547,26566256530,104463032408
kmeans,clang,asan,1,native,424042070,3652,2780,80848631,,89676129960,,0,120163109285,294590,31.653702274,81932695479,518245141000
pca,clang,asan,1,native,129933312,25591,4543863,4936149,,15446337735,,0,31778619242,6786023,8.373804964,20557083073,129491262287
