name,compiler,type,threads,input,instructions,mpxerrors,branch_misses,major_faults,cycles,dtlb_loads,dtlb_load_misses,dtlb_store_misses,branch_instructions,time,dtlb_stores,minor_faults,mpxbtnum
pca,gcc,native,1,3,59427405241,,4862820,0,20195358401,6613160934,228685,4683051,3602678940,5.344130096,128236043,17794,
pca,gcc,native,1,0,659556719,,150191,0,162983003,92059259,3629,29,61927051,0.06539136,2891693,1235,
pca,gcc,native,1,1,3840290330,,463004,0,1250210647,489145019,12331,117691,252201377,0.330994731,26273339,2934,
pca,gcc,native,1,2,15309878850,,1401375,0,5012783027,1779738774,44012,1035102,962808627,1.333318354,50064710,6786,
pca,gcc,native,1,3,59545623052,,4783942,0,20122866925,6894741047,233728,4488925,3622249641,5.346724561,126271318,17815,
pca,gcc,native,1,0,512776800,,132256,0,174925640,103527438,2304,15,56368623,0.066851271,639790,1234,
pca,gcc,native,1,1,3895888959,,456953,0,1228652860,492890144,11994,116319,253979672,0.329232981,25994690,2933,
pca,gcc,native,1,2,13670574491,,1356941,0,5008613892,1970222237,51360,957164,933397026,1.333031208,49856040,6786,
pca,gcc,native,1,3,57501603545,,5104780,0,20213270680,6933849211,234402,4375437,3600161987,5.345704991,126615894,17793,
pca,gcc,native,1,0,517979562,,131269,0,192988265,98624447,2258,7,59313299,0.066977651,544923,1236,
pca,gcc,native,1,1,3898158459,,460588,0,1230543926,492856996,12375,117568,254309315,0.329663039,25485683,2933,
pca,gcc,native,1,2,13760934564,,1352380,0,4971321231,1903318596,55877,1000154,852710635,1.340969811,49960644,6790,
pca,gcc,native,1,3,60734590950,,5063049,0,20185401465,6831140556,236734,4450881,3641107515,5.336823906,129007062,17791,
pca,gcc,native,1,0,529551794,,127998,0,197493382,98458777,2252,54,59301136,0.067069655,449249,1236,
pca,gcc,native,1,1,3773184712,,414599,0,1247719129,487238748,9525,132756,244546778,0.33862395,33015423,2935,
pca,gcc,native,1,2,13368888266,,1251432,0,4976562502,1828206575,55191,1046082,859299861,1.340859141,50280978,6788,
pca,gcc,native,1,3,59062699777,,4833185,0,20524721841,6842156390,793130,4699314,3673819360,5.417701749,126215578,17831,
kmeans,icc,native,1,0,1022396050,,4541864,0,413125328,233645309,91726,6710,172133003,0.167861215,93924708,4127,
kmeans,icc,native,1,1,1668835197,,9599051,0,677369759,531564752,190782,14759,296364426,0.276773087,153922232,7880,
kmeans,icc,native,1,2,3468628940,,24254616,0,1496722580,1172152136,371151,40019,775205134,0.570453437,334758807,13929,
kmeans,icc,native,1,3,8580141994,,55560056,0,3763642667,2224188860,739428,88077,1667750788,1.187224939,869313110,26011,
kmeans,icc,native,1,0,1001835632,,5943906,0,371843158,257531087,123318,6511,179334712,0.16871336,82499156,4635,
kmeans,icc,native,1,1,1642776185,,9340038,0,664517461,516270913,169277,15781,292543847,0.27612972,157453340,7369,
kmeans,icc,native,1,2,3401920212,,24222129,0,1514270055,1178274251,376022,39955,785169511,0.568932138,349049946,13926,
kmeans,icc,native,1,3,10140827239,,54801361,0,4012394868,2014301178,802030,87814,1781982570,1.178104866,827297405,26012,
kmeans,icc,native,1,0,1129544795,,5660021,0,456683524,238466913,77549,6717,214992376,0.167368979,79089275,4123,
kmeans,icc,native,1,1,1633515071,,9678841,0,645613184,511984312,184102,17064,289918970,0.276830921,158691868,7877,
kmeans,icc,native,1,2,3624459290,,24613977,0,1492217112,1130280539,352535,39498,791769662,0.567578307,354177943,13924,
kmeans,icc,native,1,3,9378878551,,51650891,0,3673607609,2421532153,789224,86832,1902242861,1.178519968,755988690,26524,
kmeans,icc,native,1,0,1042736052,,6618033,0,392541192,277457218,109107,6598,206490990,0.16864567,74471999,4635,
kmeans,icc,native,1,1,1497437546,,11014193,0,587955828,536734048,205846,15297,325098642,0.27703822,157181641,7879,
kmeans,icc,native,1,2,3702360242,,23789920,0,1451806213,1110564772,378207,38342,788684463,0.570878273,362092033,13928,
kmeans,icc,native,1,3,8312567180,,52927846,0,3513748089,2635133827,753418,85456,1843142979,1.184281224,755473998,26011,
kmeans,icc,native,1,0,922245723,,6615785,0,366190622,292989810,131245,6210,172144773,0.16862143,87108213,4638,
kmeans,icc,native,1,1,1607564086,,9752581,0,680565199,519566793,204437,12789,327656031,0.27688212,147895251,7880,
kmeans,icc,native,1,2,3737319371,,22666915,0,1575130923,1069579754,338600,38772,713357008,0.56884892,350185957,13926,
kmeans,icc,native,1,3,8777766287,,53870704,0,3637683344,2324485818,775348,87627,1692711571,1.181802684,854638169,26523,
kmeans,icc,native,1,0,1076079441,,6650536,0,414870822,256560017,88455,6344,199008145,0.16772393,77595903,4127,
kmeans,icc,native,1,1,1492661258,,10102453,0,603743642,522959966,183147,13030,339781215,0.276430567,144434781,7365,
kmeans,icc,native,1,2,3425732344,,24209681,0,1524741985,1158356572,369941,38516,793844896,0.571310285,327739523,13925,
kmeans,icc,native,1,3,6335016464,,54209296,0,3226664538,2752209318,738724,89890,1530657744,1.185841792,871799687,26011,
kmeans,icc,native,1,0,852680420,,4291217,0,369995315,282799651,133514,6026,140400009,0.168506823,94268280,4123,
kmeans,icc,native,1,1,1706442425,,9892590,0,674566801,481731268,195079,13166,358422052,0.27689366,149775434,7875,
kmeans,icc,native,1,2,3793384046,,24056622,0,1475428058,1125214023,359129,38707,760669607,0.567235941,342343663,13413,
kmeans,icc,native,1,3,7582809449,,50991459,0,3447357672,2556844622,760558,92069,1789929838,1.184164712,773712921,26522,
kmeans,icc,native,1,0,998877375,,5361169,0,392166829,272675001,106423,6897,178715654,0.168596388,91516657,4635,
kmeans,icc,native,1,1,1522438485,,9948202,0,606973264,545215525,197147,16127,286932467,0.276522616,153563510,7878,
kmeans,icc,native,1,2,3507500038,,25077910,0,1397624222,1158413557,389044,38561,786275954,0.572508096,349270395,13925,
kmeans,icc,native,1,3,8293942768,,53338121,0,3400210937,2563570066,757137,82069,1692934531,1.186173335,793887614,26010,
kmeans,icc,native,1,0,1067878471,,6003415,0,432497702,274483118,97538,6580,199071710,0.16789591,78223579,4125,
kmeans,icc,native,1,1,1399112870,,10178360,0,581855932,512112328,188154,14414,332013765,0.278705254,159329938,7363,
kmeans,icc,native,1,2,3836787175,,24381416,0,1539881410,1094907101,356127,39082,767945211,0.570337765,376687891,13413,
kmeans,icc,native,1,3,8138150636,,51544045,0,3431440204,2757812892,750775,83449,1815731131,1.184847183,722473850,26009,
kmeans,icc,native,1,0,1163406677,,5162809,0,442928902,224156583,101768,6587,208447397,0.167709946,82535181,4635,
