name,compiler,type,threads,input,major_faults,sys_time,voluntary_context_switches,maxsize,user_time,mpxerrors,involuntary_context_switches,mpxbtnum,sgxtime,sgxmem,minor_faults,time
pca,icc,mpx,1,1,0,0,1,18128,0.64,,2,,,,2949,0.64
pca,icc,mpx,1,2,0,0,1,33548,2.55,,8,,,,6807,2.55
pca,icc,mpx,1,3,0,0.02,2,77528,10.15,,20,,,,17810,10.18
matrix_multiply,icc,mpx,1,0,0,0.15,1,7724,0.06,,3,,,,307,0.21
matrix_multiply,icc,mpx,1,1,1,0.74,1,9268,0.85,,5,,,,812,1.6
matrix_multiply,icc,mpx,1,2,1,3.04,1,29088,6.58,,20,,,,2663,9.63
matrix_multiply,icc,mpx,1,3,,,,,,,,,,,,
kmeans,icc,mpx_no_narrow_bounds,1,0,0,0.01,1,38896,0.32,,4,,,,5170,0.33
kmeans,icc,mpx_no_narrow_bounds,1,1,0,0,1,71500,0.2,,2,,,,10194,0.2
kmeans,icc,mpx_no_narrow_bounds,1,2,0,0.01,1,129248,0.37,,2,,,,20040,0.38
kmeans,icc,mpx_no_narrow_bounds,1,3,0,0.04,1,247516,0.64,,4,,,,37895,0.68
kmeans,icc,mpx_no_narrow_bounds,1,4,0,0.04,1,484632,1.44,,4,,,,75670,1.48
pca,icc,mpx_no_narrow_bounds,1,0,0,0,1,11344,0.12,,3,,,,1252,0.12
pca,icc,mpx_no_narrow_bounds,1,1,0,0,1,18128,0.64,,4,,,,2950,0.64
pca,icc,mpx_no_narrow_bounds,1,2,0,0,1,33608,2.55,,9,,,,6805,2.55
pca,icc,mpx_no_narrow_bounds,1,3,0,0.02,6,77628,10.14,,24,,,,17812,10.17
matrix_multiply,icc,mpx_no_narrow_bounds,1,0,0,0.13,1,5704,0.07,,4,,,,310,0.21
matrix_multiply,icc,mpx_no_narrow_bounds,1,1,1,0.72,1,11312,0.85,,5,,,,814,1.58
matrix_multiply,icc,mpx_no_narrow_bounds,1,2,1,3.03,1,29092,6.6,,20,,,,2665,9.64
matrix_multiply,icc,mpx_no_narrow_bounds,1,3,,,,,,,,,,,,
kmeans,clang,asan,1,0,0,0.01,1,47196,0.46,,5,,,,13034,0.48
kmeans,clang,asan,1,1,0,0.01,1,77152,0.33,,3,,,,23970,0.34
kmeans,clang,asan,1,2,0,0.02,1,136960,0.62,,4,,,,46847,0.65
kmeans,clang,asan,1,3,0,0.06,1,256732,1.08,,6,,,,92112,1.14
kmeans,clang,asan,1,4,0,0.1,1,496364,2.35,,6,,,,182646,2.46
