"name","compiler","type","input","threads","num_clients","tput","lat"
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",192,1,192,154441,1242
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",256,1,256,131735,1943
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",320,1,320,130687,2448
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",384,1,384,153563,2500
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",448,1,448,138184,3242
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",512,1,512,135376,3782
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",32,1,32,115922,275
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",64,1,64,127963,499
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",128,1,128,124682,1026
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",192,1,192,150033,1279
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",256,1,256,126656,2021
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",320,1,320,124596,2568
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",384,1,384,156345,2456
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",448,1,448,125744,3563
"bin/memcached","gcc","mpx_no_narrow_bounds_only_write",512,1,512,140555,3643
"bin/memcached","icc","mpx_no_narrow_bounds",32,1,32,120307,265
