name,compiler,type,threads,input,dtlb_store_misses,mpxbtnum,sgxtime,tput,instructions,branch_instructions,dtlb_stores,num_clients,cycles,branch_misses,major_faults,dtlb_load_misses,time,mpxerrors,lat,dtlb_loads,minor_faults,sgxmem
bin/memcached,icc,native,1,512,,,,281763.0,,,,512,,,,,,,1816.0,,,
bin/memcached,icc,native,1,32,,,,177252.0,,,,32,,,,,,,179.0,,,
bin/memcached,icc,native,1,64,,,,260553.0,,,,64,,,,,,,245.0,,,
bin/memcached,icc,native,1,128,,,,280140.0,,,,128,,,,,,,456.0,,,
bin/memcached,icc,native,1,192,,,,280894.0,,,,192,,,,,,,682.0,,,
bin/memcached,icc,native,1,256,,,,281278.0,,,,256,,,,,,,909.0,,,
bin/memcached,icc,native,1,320,,,,281722.0,,,,320,,,,,,,1135.0,,,
bin/memcached,icc,native,1,384,,,,281535.0,,,,384,,,,,,,1363.0,,,
bin/memcached,icc,native,1,448,,,,281353.0,,,,448,,,,,,,1591.0,,,
bin/memcached,icc,native,1,512,,,,281646.0,,,,512,,,,,,,1817.0,,,
bin/memcached,icc,native,1,32,,,,176274.0,,,,32,,,,,,,180.0,,,
bin/memcached,icc,native,1,64,,,,259722.0,,,,64,,,,,,,245.0,,,
bin/memcached,icc,native,1,128,,,,280596.0,,,,128,,,,,,,455.0,,,
bin/memcached,icc,native,1,192,,,,281594.0,,,,192,,,,,,,681.0,,,
bin/memcached,icc,native,1,256,,,,281170.0,,,,256,,,,,,,909.0,,,
bin/memcached,icc,native,1,320,,,,281474.0,,,,320,,,,,,,1136.0,,,
bin/memcached,icc,native,1,384,,,,281444.0,,,,384,,,,,,,1363.0,,,
bin/memcached,icc,native,1,448,,,,281445.0,,,,448,,,,,,,1591.0,,,
bin/memcached,icc,native,1,512,,,,281661.0,,,,512,,,,,,,1817.0,,,
bin/memcached,icc,native,1,32,,,,174018.0,,,,32,,,,,,,183.0,,,
bin/memcached,icc,native,1,64,,,,259446.0,,,,64,,,,,,,246.0,,,
bin/memcached,icc,native,1,128,,,,280027.0,,,,128,,,,,,,456.0,,,
bin/memcached,icc,native,1,192,,,,281215.0,,,,192,,,,,,,682.0,,,
bin/memcached,icc,native,1,256,,,,281403.0,,,,256,,,,,,,909.0,,,
bin/memcached,icc,native,1,320,,,,281313.0,,,,320,,,,,,,1136.0,,,
bin/memcached,icc,native,1,384,,,,281764.0,,,,384,,,,,,,1362.0,,,
bin/memcached,icc,native,1,448,,,,281574.0,,,,448,,,,,,,1590.0,,,
bin/memcached,icc,native,1,512,,,,281359.0,,,,512,,,,,,,1819.0,,,
bin/memcached,clang,native,1,32,,,,176146.0,,,,32,,,,,,,181.0,,,
bin/memcached,clang,native,1,64,,,,259998.0,,,,64,,,,,,,245.0,,,
bin/memcached,clang,native,1,128,,,,280524.0,,,,128,,,,,,,455.0,,,
bin/memcached,clang,native,1,192,,,,281140.0,,,,192,,,,,,,682.0,,,
bin/memcached,clang,native,1,256,,,,281003.0,,,,256,,,,,,,910.0,,,
bin/memcached,clang,native,1,320,,,,281268.0,,,,320,,,,,,,1137.0,,,
bin/memcached,clang,native,1,384,,,,281552.0,,,,384,,,,,,,1363.0,,,
bin/memcached,clang,native,1,448,,,,281394.0,,,,448,,,,,,,1591.0,,,
bin/memcached,clang,native,1,512,,,,281579.0,,,,512,,,,,,,1817.0,,,
bin/memcached,clang,native,1,32,,,,177156.0,,,,32,,,,,,,180.0,,,
bin/memcached,clang,native,1,64,,,,260071.0,,,,64,,,,,,,245.0,,,
bin/memcached,clang,native,1,128,,,,280461.0,,,,128,,,,,,,455.0,,,
bin/memcached,clang,native,1,192,,,,281143.0,,,,192,,,,,,,682.0,,,
bin/memcached,clang,native,1,256,,,,280513.0,,,,256,,,,,,,912.0,,,
bin/memcached,clang,native,1,320,,,,281385.0,,,,320,,,,,,,1136.0,,,
bin/memcached,clang,native,1,384,,,,281522.0,,,,384,,,,,,,1363.0,,,
bin/memcached,clang,native,1,448,,,,281536.0,,,,448,,,,,,,1590.0,,,
bin/memcached,clang,native,1,512,,,,281968.0,,,,512,,,,,,,1815.0,,,
bin/memcached,clang,native,1,32,,,,177509.0,,,,32,,,,,,,179.0,,,
bin/memcached,clang,native,1,64,,,,259503.0,,,,64,,,,,,,246.0,,,
bin/memcached,clang,native,1,128,,,,280306.0,,,,128,,,,,,,456.0,,,
bin/memcached,clang,native,1,192,,,,281392.0,,,,192,,,,,,,681.0,,,
bin/memcached,clang,native,1,256,,,,281198.0,,,,256,,,,,,,909.0,,,
bin/memcached,clang,native,1,320,,,,281235.0,,,,320,,,,,,,1137.0,,,
bin/memcached,clang,native,1,384,,,,281522.0,,,,384,,,,,,,1363.0,,,
bin/memcached,clang,native,1,448,,,,281705.0,,,,448,,,,,,,1589.0,,,
bin/memcached,clang,native,1,512,,,,281358.0,,,,512,,,,,,,1819.0,,,
bin/memcached,clang,native,1,32,,,,177460.0,,,,32,,,,,,,179.0,,,
bin/memcached,clang,native,1,64,,,,260218.0,,,,64,,,,,,,245.0,,,
bin/memcached,clang,native,1,128,,,,280338.0,,,,128,,,,,,,456.0,,,
bin/memcached,clang,native,1,192,,,,281087.0,,,,192,,,,,,,682.0,,,
bin/memcached,clang,native,1,256,,,,281319.0,,,,256,,,,,,,909.0,,,
bin/memcached,clang,native,1,320,,,,281556.0,,,,320,,,,,,,1136.0,,,
bin/memcached,clang,native,1,384,,,,281661.0,,,,384,,,,,,,1362.0,,,
bin/memcached,clang,native,1,448,,,,281418.0,,,,448,,,,,,,1591.0,,,
bin/memcached,clang,native,1,512,,,,281466.0,,,,512,,,,,,,1818.0,,,
bin/memcached,clang,native,1,32,,,,176360.0,,,,32,,,,,,,180.0,,,
bin/memcached,clang,native,1,64,,,,260223.0,,,,64,,,,,,,245.0,,,
bin/memcached,clang,native,1,128,,,,280574.0,,,,128,,,,,,,455.0,,,
bin/memcached,clang,native,1,192,,,,280952.0,,,,192,,,,,,,682.0,,,
bin/memcached,clang,native,1,256,,,,281286.0,,,,256,,,,,,,909.0,,,
bin/memcached,clang,native,1,320,,,,281380.0,,,,320,,,,,,,1136.0,,,
bin/memcached,clang,native,1,384,,,,281259.0,,,,384,,,,,,,1364.0,,,
bin/memcached,clang,native,1,448,,,,281864.0,,,,448,,,,,,,1588.0,,,
bin/memcached,clang,native,1,512,,,,281500.0,,,,512,,,,,,,1818.0,,,
bin/memcached,clang,native,1,32,,,,176481.0,,,,32,,,,,,,180.0,,,
bin/memcached,clang,native,1,64,,,,259919.0,,,,64,,,,,,,245.0,,,
bin/memcached,clang,native,1,128,,,,280525.0,,,,128,,,,,,,455.0,,,
bin/memcached,clang,native,1,192,,,,281212.0,,,,192,,,,,,,682.0,,,
bin/memcached,clang,native,1,256,,,,281216.0,,,,256,,,,,,,909.0,,,
bin/memcached,clang,native,1,320,,,,281274.0,,,,320,,,,,,,1137.0,,,
bin/memcached,clang,native,1,384,,,,281080.0,,,,384,,,,,,,1365.0,,,
bin/memcached,clang,native,1,448,,,,281663.0,,,,448,,,,,,,1590.0,,,
bin/memcached,clang,native,1,512,,,,281426.0,,,,512,,,,,,,1818.0,,,
bin/memcached,clang,native,1,32,,,,176230.0,,,,32,,,,,,,181.0,,,
bin/memcached,clang,native,1,64,,,,260043.0,,,,64,,,,,,,245.0,,,
bin/memcached,clang,native,1,128,,,,280476.0,,,,128,,,,,,,455.0,,,
bin/memcached,clang,native,1,192,,,,280664.0,,,,192,,,,,,,683.0,,,
bin/memcached,clang,native,1,256,,,,281288.0,,,,256,,,,,,,909.0,,,
bin/memcached,clang,native,1,320,,,,281501.0,,,,320,,,,,,,1136.0,,,
bin/memcached,clang,native,1,384,,,,281701.0,,,,384,,,,,,,1362.0,,,
bin/memcached,clang,native,1,448,,,,281588.0,,,,448,,,,,,,1590.0,,,
bin/memcached,clang,native,1,512,,,,281403.0,,,,512,,,,,,,1819.0,,,
bin/memcached,clang,native,1,32,,,,174991.0,,,,32,,,,,,,182.0,,,
bin/memcached,clang,native,1,64,,,,260054.0,,,,64,,,,,,,245.0,,,
bin/memcached,clang,native,1,128,,,,280290.0,,,,128,,,,,,,456.0,,,
bin/memcached,clang,native,1,192,,,,281199.0,,,,192,,,,,,,682.0,,,
bin/memcached,clang,native,1,256,,,,281208.0,,,,256,,,,,,,909.0,,,
bin/memcached,clang,native,1,320,,,,281452.0,,,,320,,,,,,,1136.0,,,
bin/memcached,clang,native,1,384,,,,281267.0,,,,384,,,,,,,1364.0,,,
bin/memcached,clang,native,1,448,,,,281460.0,,,,448,,,,,,,1591.0,,,
bin/memcached,clang,native,1,512,,,,281373.0,,,,512,,,,,,,1819.0,,,
bin/memcached,clang,native,1,32,,,,177750.0,,,,32,,,,,,,179.0,,,
bin/memcached,clang,native,1,64,,,,260056.0,,,,64,,,,,,,245.0,,,
bin/memcached,clang,native,1,128,,,,280382.0,,,,128,,,,,,,455.0,,,
bin/memcached,clang,native,1,192,,,,281132.0,,,,192,,,,,,,682.0,,,
bin/memcached,clang,native,1,256,,,,281252.0,,,,256,,,,,,,909.0,,,
bin/memcached,clang,native,1,320,,,,281449.0,,,,320,,,,,,,1136.0,,,
bin/memcached,clang,native,1,384,,,,281542.0,,,,384,,,,,,,1363.0,,,
bin/memcached,clang,native,1,448,,,,281424.0,,,,448,,,,,,,1591.0,,,
bin/memcached,clang,native,1,512,,,,281570.0,,,,512,,,,,,,1817.0,,,
bin/memcached,clang,native,1,32,,,,174619.0,,,,32,,,,,,,182.0,,,
bin/memcached,clang,native,1,64,,,,258974.0,,,,64,,,,,,,246.0,,,
bin/memcached,clang,native,1,128,,,,280283.0,,,,128,,,,,,,456.0,,,
bin/memcached,clang,native,1,192,,,,281325.0,,,,192,,,,,,,681.0,,,
bin/memcached,clang,native,1,256,,,,281500.0,,,,256,,,,,,,908.0,,,
bin/memcached,clang,native,1,320,,,,281235.0,,,,320,,,,,,,1137.0,,,
bin/memcached,clang,native,1,384,,,,281781.0,,,,384,,,,,,,1362.0,,,
