name,compiler,type,threads,input,dtlb_store_misses,instructions,dtlb_load_misses,branch_instructions,dtlb_loads,mpxbtnum,branch_misses,mpxerrors,time,cycles,major_faults,minor_faults,dtlb_stores
vips,gcc,native,1,native,204788,741407311858,405731,77789702439,139136309678,,145609349,,62.679587191,236632365055,0,25166,41838271156
vips,gcc,native,1,native,221247,741411687596,351993,77767237835,139141833809,,146648934,,62.783770848,236709042433,0,25154,41819889882
vips,gcc,native,1,native,214780,741436507728,347520,77818288953,139206433830,,146277514,,62.359047096,236723303079,0,25154,41851225394
vips,gcc,native,1,native,218910,741383570568,414248,77801658310,139188028104,,146004382,,63.130249286,236792330898,0,25076,41851170185
vips,gcc,native,1,native,131874,741670928271,424362,77808496325,139198450694,,145980130,,62.665412122,236801493260,0,24054,41817111562
vips,gcc,native,1,native,216778,741338701160,435728,77780683202,139167868443,,145920059,,62.661097369,236815930107,0,25074,41816734361
vips,gcc,native,1,native,182296,741477497407,446255,77808999127,139132836499,,146246294,,62.547423013,236750762775,0,24563,41818897069
ferret,icc,native,1,native,650995,1594313313444,2843572,279572456577,452678406448,,11921809253,,268.210762183,1008413889079,0,11392,66653905797
ferret,icc,native,1,native,387421,1592642564957,2069122,279479653573,453012088345,,11901951432,,267.662730528,1006777296813,0,10889,66496572087
ferret,icc,native,1,native,932248,1593350331504,3492181,279428016845,452685923357,,11921472290,,267.94361443,1007573545148,0,11901,66678635165
ferret,icc,native,1,native,176247,1592900022783,1562960,279777333009,453140365343,,11919734841,,268.005975835,1008018529674,0,11903,66425096473
ferret,icc,native,1,native,452504,1595015466068,2258454,279539090685,452485163711,,11930355288,,267.94402795,1007271653890,0,11390,66826669553
ferret,icc,native,1,native,610187,1594046356712,2707626,279783045455,452803474425,,11937593679,,268.026212508,1007605099633,0,11396,66482968862
ferret,icc,native,1,native,841122,1593017146011,3093368,279559740775,452929410997,,11875847131,,268.176293686,1008432075632,0,11391,66334678636
ferret,icc,native,1,native,942156,1592583458234,3510566,279355203121,453242673383,,11893951301,,267.848243787,1007356765780,0,11901,66367826341
ferret,icc,native,1,native,132731,1593127995135,1138800,279234152311,452957989514,,11924946945,,268.027310657,1007925737854,0,11390,66734821683
ferret,icc,native,1,native,500280,1591779186604,2083120,278787354165,452878531484,,11900669223,,267.77766922,1006921704656,0,11911,67081920433
raytrace,icc,native,1,native,416842,523110562739,3077249,43710408149,128556558001,,1421071961,,122.04110886,462688034663,0,60850,37603883654
raytrace,icc,native,1,native,369874,523064505182,1856089,43714161496,128560652109,,1420510652,,121.971240315,462746511999,0,58335,37561829841
raytrace,icc,native,1,native,410821,522989301634,1853213,43692433815,128601616314,,1430563905,,121.743152925,461805306091,0,60118,37630660577
raytrace,icc,native,1,native,366782,523040366403,2990658,43734799663,128651386209,,1421943244,,122.359630548,464271301476,0,60439,37619159232
raytrace,icc,native,1,native,416650,523191837456,3182551,43702304893,128469752544,,1423885515,,122.144973469,463466352519,0,59122,37644706106
raytrace,icc,native,1,native,412368,522949434169,2851942,43739092784,128591754808,,1421939018,,122.350928521,464201115337,0,60774,37646778864
raytrace,icc,native,1,native,371625,523105225092,1845678,43718073260,128550115342,,1424406692,,122.200257662,463666367215,0,58362,37594774938
