name,compiler,type,threads,input,cycles,dtlb_store_misses,minor_faults,branch_misses,dtlb_load_misses,major_faults,dtlb_loads,branch_instructions,instructions,mpxbtnum,mpxerrors,dtlb_stores,time
canneal,gcc,native,1,0,2170677930,12,595,10461446,256,0,736736027,482415977,3208178984,,,400999215,0.573102199
canneal,gcc,native,1,1,2289820629,28,1251,8485928,2544,0,731464069,479133605,3149222301,,,396701636,0.604016394
canneal,gcc,native,1,2,2989199383,34,848,10348482,2608,0,739173196,482307437,3218949962,,,402681997,0.788294796
canneal,gcc,native,1,3,3647008430,494,1887,10343696,3258,0,749019532,493571493,3257494147,,,404760473,0.962043858
canneal,gcc,native,1,4,3842540489,43985,5507,10432190,1484,0,782036613,525261088,3418400536,,,453084484,1.094494195
canneal,gcc,native,1,0,2170856640,14,592,10461096,341,0,736547418,482579180,3208446559,,,400700004,0.573218959
canneal,gcc,native,1,1,2186192227,2,742,8481190,1907,0,734363066,475533467,3106421681,,,398421196,0.588444914
canneal,gcc,native,1,2,2995616435,32,1362,10368081,3033,0,741082279,483240400,3216553355,,,402955112,0.790316178
canneal,gcc,native,1,3,3645825714,1095,1887,10380177,3527,0,748991822,493886194,3262249442,,,403349950,0.961203171
canneal,gcc,native,1,4,3861827079,69882,6017,10483988,5718,0,779440132,524583539,3417709973,,,444043863,1.090522287
canneal,gcc,native,1,0,2176226017,2,1102,10476072,2418,0,740463596,482920998,3210852641,,,399248979,0.57393754
canneal,gcc,native,1,1,2238473641,29,739,8490594,979,0,734279669,475042902,3101628440,,,398159512,0.591197306
canneal,gcc,native,1,2,2988927701,45,852,10348205,1590,0,741359116,483387385,3213798881,,,403187297,0.788600957
canneal,gcc,native,1,3,3649893880,982,2398,10457217,5473,0,749489469,494078574,3260975238,,,406805658,0.963186908
canneal,gcc,native,1,4,3844827836,69865,6013,10458228,5074,0,780565814,525806409,3421758704,,,448381204,1.092436154
canneal,gcc,native,1,0,2174004482,14,1104,10461176,1971,0,740635751,482821638,3208727902,,,399923581,0.574053366
canneal,gcc,native,1,1,2196103568,0,742,8460884,917,0,734145779,478712387,3127675818,,,396527119,0.587016425
canneal,gcc,native,1,2,2992517444,34,853,10380567,1135,0,741611714,483563909,3215929880,,,403068282,0.789342404
canneal,gcc,native,1,3,3645014525,784,1886,10413737,3177,0,749231089,493764459,3260277420,,,403912836,0.961240591
canneal,gcc,native,1,4,3840323497,35605,6015,10403916,7875,0,782585571,525719159,3421913542,,,451398747,1.092732457
canneal,gcc,native,1,0,2169657394,14,593,10445748,104,0,737834971,482410747,3207373442,,,401540889,0.57312163
canneal,gcc,native,1,1,2191344650,4,743,8480544,1086,0,734012515,476754329,3114062421,,,398203272,0.588368977
canneal,gcc,native,1,2,2988197418,46,851,10334578,1965,0,739854379,482788462,3217854404,,,402776443,0.788092574
canneal,gcc,native,1,3,3642354789,1136,1888,10440689,4440,0,749396422,493804670,3261909819,,,406358454,0.961337776
canneal,gcc,native,1,4,3852150080,70645,6017,10439301,4525,0,780174158,525637669,3421837830,,,448535515,1.093173963
canneal,gcc,native,1,0,2175449616,6,1105,10439802,2295,0,740373512,482877143,3210559654,,,399690020,0.574038687
canneal,gcc,native,1,1,2274161778,18,1254,8480593,1489,0,729270720,479287508,3147351986,,,398041661,0.600092064
